customer_text_clean,spotify_text_clean,intent
?,Hey! What issues are you having? Let us know how we can help /CO,General / Other Support
"all of my friends get the ""behind the music"" feature, I've checked & it is allowed on my device yet I've never seen it on mine",Hi there! Can you let us know which device and operating system you're using? We'll see what we can suggest /NQ,App / Device Issue
1 day has almost passed and #RIDE is still not available on spotify in germany I WILL SUE,Could you send us a screenshot of what you see when you click the link we provided? We'll see what we can do /TB,Music / Content Availability
Found another bug... When connected to chromecast autoplay behaves unreliable...,"Hey there! What's happening exactly? Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",Spotify Connect / External Devices
my Spotify keeps stopping and starting please sort it out,"Hey Gee, help's here! What device is this happening on? Also, is this happening on other devices? Keep us in the loop /MQ",Playback / Streaming Issue
"Ya, those 5 songs I really wanted to save from last week but can’t find now. Ha","We understand! Fingers crossed you'll find them again soon. If you need us again, just give us a shout. We're here around the clock 🙂 /BH",General / Other Support
There is a lot of choices when it comes to Music Streaming but you can't match they quality of customer service you get from !,Aww! You made us blush a bit. We've just sent you a DM 🙂 /AU,Playback / Streaming Issue
How do i sign in as owner,"Hi Ron! Just to clarify, are you trying to log in to your Premium account or set up a Premium for Family plan? We'll help out /NJ",Account / Login
How can I undo revoke access?,Hey there! Can you let us know what app you've revoked access to your Spotify account? We'll see what we can suggest /RH,General / Other Support
so because my Facebook wasn't linked to my account I can't use the app anymore because it takes me an old account that I wasn't using. Now I lost my premium and all my music. Thanks guys.,"Hi Marc, that's not cool! Can you DM us with your account's email address? Don't worry, we'll help sort things out /WW",Premium / Billing / Subscription
is just mixing all the artist that goes by the name Jaya. I just wanna listen to Dahil Tanging Ikaw,Hey! Help's here. Can you send us the Song Link? Just tap the three dots > Share > Copy Link. We'll take a look backstage /MG,General / Other Support
"lol please fix, the app is drunk 😂",Hey there! Help's here. Can you let us know the iOS and app version you're using? We'll see what we can suggest /PB,General / Other Support
y’all can charge me 3 times in a day but my account still won’t work?,Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /RA,Premium / Billing / Subscription
you are the coffin came on and spotify crashed. why do you hate depressed people,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",General / Other Support
"This is a bad ad . Also, 'featuring' is basically invisible.","Hey Jordan! We appreciate your feedback. Not to worry, we'll make sure it's passed on to the relevant folks 💚 /NG",General / Other Support
"1st in playlist playing song 28, 2nd playing 111th song in playlist , always the same things","Hi Hannah. Don't worry, help's here. Can you send us a screenshot of any error messages you come across? We'll see what we can do /JU",General / Other Support
And yet not available in India 😭 When it'll be available in India ?,Hi Amit! We're launching in new countries as often as possible. Be sure to add your email at /Q,Music / Content Availability
"Me unable to play the new album on all week, while everyone's playing and reviewing the leak of #Colors...","Hey, we’ll have it available to you as soon as it’s available to us! /JM",Playback / Streaming Issue
After the latest sonos sw update the issue has been resolved! Case can be closed. Thanks for the support! Highly appreciated 👍🏻,You're welcome! Give us a shout if you need help with anything else. We're... /SJ,Spotify Connect / External Devices
It's pretty annoying ngl. I'm on PC using Win10 Spotify version 1.0.66.478.g1296534d which seems to be the latest,"Thanks! Is it happening on a specific ad? If so, let us know which ad it is. We'll check it out /QI",General / Other Support
"Thank you! Please don't judge me - I have good taste, I swear... but it features , so how can I not ask?!","No worries! We'll make sure to pass your thoughts on to the right team. If there's anything else, just give us a shout 🙂 /AU",General / Other Support
I have a problem with your app on Android. DM?,Hi there! Help's here. What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /NQ,App / Device Issue
i am having lots of payment issues please help,Hey! Can you DM us your account's email address? We'll see what we can suggest /CB,Premium / Billing / Subscription
I need help with a Facebook account merger!,"Hi Alejandra, help's here! Can you DM us your account's email address or username? We'll take a look /GT",General / Other Support
how the fuck does spotify work im so confused,Hey Tamara! What's happening exactly? We'd love to help /NG,General / Other Support
"iPhone 7, iOS 11.0.3, Spotify version 8.4.24.506. Thank you!","Got it. Just to check, did you start getting the issue after updating your OS or app to the latest version? /JM",App / Device Issue
Hey why do my songs interrupt when my phone screen is off/locked (Android v7.0),"Hey Emily! Don't worry, help's here. Just to check, can you let us know the phone model and Spotify version you're using? /MT",App / Device Issue
"Agreed, it is not. I did find a new setting though, ""Show local devices only"" which do help if spotify is used in your (Google) home while you're out walking. That way Spotify doesn't pause my podcast/di.fm at least.",Great! Glad to hear it's working. Just let us know if we can help with anything else. /JQ,Playback / Streaming Issue
when are you guys gonna put up 's new mixtape Karma up,"Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DB",General / Other Support
I have not. I'll try that now. Thanks.,Sounds like a plan! We'll be right here waiting /PB,General / Other Support
i use windows 10. no worry it's working now!,Awesome! Let us know if you ever need us again. We'd be... 🙂 /BH,General / Other Support
cant sign into you cervice...,"Hi, help's here! Can you DM us the email address that you're using? We'll take a look backstage /MG",General / Other Support
So it’s not available in the UK?,"That's right. No worries, we'll let the right team know it's something you'd like to see /RP",Music / Content Availability
why the hell has reputation not been put on spotify yet I’m going to scream,"Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: /JN",General / Other Support
FUCKDJ i was joking im sorry spotify you’re doing great sweeties just give me more exo and not miley cyrus,Got it! You might be hearing Suggested Tracks (if you're on Free on mobile). It'd help if you could add more artists into your playlists /AY,General / Other Support
Antenna by Cave In () is properly KNACKERED. Skips and cuts to other music all over the place. Stained Silver v bad,Can you send us the Spotify URI? Just right-click the track > Share > URI. We'll check it out /CB,Playback / Streaming Issue
"I updated the Android app while in (spotify) offline mode. After the update I got logged out, now I can't log back in because the app is still in offline mode...","Just to check, does clearing your app data and cache make any difference this time? If not, a screenshot of the error message would be handy. Keep us posted /XF",App / Device Issue
I have student discount but I’ve just been charged full price?,Hey Dylan. We've just sent you a DM 🙂 /VK,Premium / Billing / Subscription
how come this album isn’t on #Spotify? All of albums are but this one. Please add it! 😊,"Hey there! We’d love to have all of his stuff available, but we have some info about content here: /AR",Feature Request / Product Feedback
How is your app still not optimized for the iPhone X?,Hey Nate! We understand - we’re working on it as we speak. Stay tuned 🙂 /RA,App / Device Issue
"2: Been a subscriber and advocate since the US launch but I can't stand this ""feature"" any longer. Time to move on I suppose : /","We're sorry you feel that way. We're taking in your comments though, and we'll be sure to pass them on to the relevant team /AR",Feature Request / Product Feedback
Thank you for reply!,You're welcome! If anything else comes up just give us a shout. We're here around the clock 🙂 /BH,General / Other Support
"It's an lg g5 that got the latest system update last week, and auto downloads app updates so that should be current as well.",It'd be a great help if you could send us the exact version of your device and the Spotify app. We'll be right here waiting /LO,App / Device Issue
when’s your 3 months for 99p coming back x x x broke bitch atm,"2: In the meantime, we'd recommend opting into email notifications (Spotify News and Offers) over at /PL",General / Other Support
"Also discovered the song ( will begin at 1:12 or 1:13 when pressing the back button on the song, forward, or just letting it play next in queue, but not when pressing play on the song (if that helps any).",Thanks. What operating system and Spotify versions are you using? We'll see what we can suggest /AU,General / Other Support
"Hi, how do I change the language on my device? I’m using an iPhone. Thanks!","1: To change your iPhone's language, go to Settings > General > Language & Region > iPhone Languange > choose your preferred...",App / Device Issue
"i don't know what you guys did, but i've never been so happy to listen to an artist again",Hi Troy! Were you able to stream Cage The Elephant's tracks again? /RR,General / Other Support
Did you click on the link I tweeted you above? Brb signing up for Apple Music trial.,We don't have any news to share regarding the link you've sent. Rest assured we'll keep everyone updated as soon as we have one /AR,General / Other Support
"No, restarting doesn't help. Tbh i don't think there is much you can do. It's more that i wanted to provide some feedback​.",Hmm. We've just released a new version of the app. Could you try if upgrading helps? Just follow the steps here: /RC,Feature Request / Product Feedback
put Lil peeps hellboy back on Spotify,Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon. We have more info here: /LO,General / Other Support
spotify:album:1icToz4Du5xd0OvQqYcF1G,Thanks. We'll get this reported. Great detective work! /MX,General / Other Support
"I want to get Spotify Premium, because I DO use the service a lot, and the ads are out of control. Plus I heard that the artists get more per ""Premium Play."" But the Web Player made some objectively poor design choices, and I don't want to reward that. Conflicted... :/","Hey, we hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RH",Premium / Billing / Subscription
For some reason my spotify won't connect to my tv 😡,Hey! Could you send us your account's username or email address? We'll take a look backstage /TM,General / Other Support
"Unfortunately it does not... I’ve rebooted the phone, reinstalled the app and nothing. However, I’ve tried on a iPhone 5S with iOS 11.1 and the latest version of Spotify and it works...","Hmm, that's odd. Could you DM us your account's email address or username? We'll take a look backstage /MT",App / Device Issue
1 week after launch and remains the only mainstream app I have that doesn’t support iPhone X,We understand - we’re working on it as we speak. Stay tuned! /MX,App / Device Issue
. you’ve had two months to optimize your app for iPhone X. Please release an update soon or I’ll be switching over to Apple Music.,"Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",App / Device Issue
"Can you add Twice's albums on Spotify? I know some Japanese versions are on there, but I'd like all the albums💗💗💗","Hey Lani! We’d love to have all of their stuff available, but we have some info about content here: /RA",Feature Request / Product Feedback
"Why, after like 10 years, is my commute still akin to an error state, ?","Hi Luke, help's here. Can you let us know the device you're using, its operating system, and Spotify version? We'll see what we can do /NY",General / Other Support
"Hi, i'm unable to re purchase the premium acc. I've tried to transferred the money 5. Can you help me? the link you gave me didn't work",We've just sent a DM your way. Let's carry on chatting there /SV,Premium / Billing / Subscription
okay why does have the wrong release date listed for so many albums?,Hey! Can you send us the Album Links? Just tap the three dots > Share > Copy Link. We'll check things out /AY,General / Other Support
Honestly I'll settle for like a free subscription or a sick Spotify tee,"2: You can get in touch with them here: For anything else, just give us a shout /MU",Premium / Billing / Subscription
iPhone 7 running on iOS 11 (15A372). Spotify version: 8.4.20.535,"Got it. To make sure we're on the same page, are the songs you're referring to local files as well? /MT",App / Device Issue
can I change my username? I wanna keep my playlists and analytics things ://///,Hi Marcelo! Can you DM us your account's email address? We'll take a look under the hood /QI,Account / Login
Downloaded from: Currently using Baidu Antivirus. It detected Trojan virus on the .exe file.,2: while you install the app. Your antivirus program might be detecting the installer as a false-positive /LM,General / Other Support
"NVM, it's working again :-)","Hi Joel! Thanks for keeping us posted. If it happens again, let us know and we'll dig deeper. Otherwise... 🙂 /LP",General / Other Support
in a future app update can you add a way to put songs in your playlist by number please. That would help a lot.,"Hey Eric, we can see how that’d be useful! You can vote for the official idea here: /TB",App / Device Issue
You know what would be great? If would finally offer lossless music quality. 320 kbit/s just aren’t enough...,"Hey Klaus! Thanks for sharing your thoughts, and we'll surely pass them on to the right folks. Let us know if there's anything else /LW",General / Other Support
"Windows 10, Spotify Desktop app latest one i think because i havent got any update since last week but the point is, When the Spotify freeze, the whole dekstop freeze, since early this year iv been using it.",Thanks for letting us know. Does restarting your device make any difference? Let us know how it goes /XF,App / Device Issue
already have🙁,"Gotcha! In the meantime, we'd suggest keeping an eye out for any updates. For anything else, we're just a tweet away /JE",General / Other Support
been a week since the release of the iPhone X and you guys come out with this but no support for the iPhone X. Even SoundCloud has updated their app. Tell your devs to step their game up.,"We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /KL",App / Device Issue
"so much, they force you to signup for Twitter to get a response from them. The bulk of their support outsourced to ""community""",Hey! Help's here. Can you DM us your account's username and email address? We'll check behind the scenes /JL,General / Other Support
What’s with the 3333 song limit? Back to Apple Music for me...,"We hear you Max! We have more info about this here: While checking that out, you may want to add your vote to let our devs know it's something you'd like to see. Hope this helps /DR",General / Other Support
why you gotta delete my downloaded library like that. Now it’s redownloading the couple thousands of songs I have 🙃,Hey there! Can you DM us your account's email address? We'll see what we can suggest /RB,General / Other Support
What happened to 's lossless plans?,"Hi Hans! To help make this happen, we'd suggest adding a vote to this idea: Anything else, let us know /NY",General / Other Support
my partner paid for a family account but I'm not receiving the invite! Nothing to do with email. It's not sending it. Help!,"Hey there, help's here! Could you shoot us a DM with the usernames and email addresses for both accounts? We'll take a look backstage /VK",Premium / Billing / Subscription
"any reason why your app is ""unavailable"" in Spain?",Hi there! Can you tell us where in Spain you're located? We'll see what we can suggest /NH,Music / Content Availability
"Hi My username is ""mauromila"", my son ""__email__"" can not acced by his cell Nexus5 after a sistem updat.","Hi, we're happy to help! We've just replied to your DM. Let's continue chatting there /GT",Account / Login
someone hacked my account and added music I don't recognize. Should I do something besides changing my password?,Hey Ricardo! Can you DM us your account's email address and username? We'll take a look backstage /MX,Account / Login
I already wrote in the link you provided ... your support page is in fact useless,"Thanks for the feedback. We'll be sure to pass it on to the right folks. On a different note, we've just replied to your DM. Let's carry on chatting there /NY",General / Other Support
It worked now I just refreshed the page like several times but thanks for ur help! I’ll do that next time! 🙂,Great! Glad to hear it's working. Just let us know if we can help with anything else. /PX,General / Other Support
"My premium is almost up and ends on Friday. I bought a new visa gift card to renew it and every time I do it keeps giving me the same message, saying things like Oops , seems like your card or payment provider is having a bad day. I just want to keep premium, help.",Hey Caleb! We've just sent a DM your way. Let's carry on chatting there /AN,Premium / Billing / Subscription
I get an email saying my student subscription is about to end. Click link to extend as I have NUS extra card. THEN THERE'S NOWHERE TO EXTEND! This has happened before and I ended up paying £9.99 for months,"Hey there, help's here! Can you DM us your account's email address? We'll check backstage /MO",Premium / Billing / Subscription
I can’t believe that the entire Twilgiht movie series has all the best soundtracks to exist and none of them are available on wtf,"Hi Celia, we understand how you feel about it. For licensing reasons, some tracks aren't available. What country is your account set to? /AY",General / Other Support
I have Spotify premium & when I log in on my safari it says i do but on my app it says I’m ‘free’??,"Hey, help's here. Could you fire over your account's email address or username via DM? We'll take a look backstage /AY",Account / Login
can you tell me why I've been charged £15 for my Spotify this month when I usually pay £4.99 for student premium?🤔,"Hey Kyle, that's not cool. Could you DM us your account's username and email address? We'll check it out 🔍 /DQ",Premium / Billing / Subscription
I can't log in to Spotify on my ps4 because I need to unlink from a ps3. I don't know which PlayStation account I was logged into Spotify on so I can't log out. Is there another way around this,"Hey Danielle, our friends over should be able to help with this. For anything else, just give us a shout /GS",Account / Login
Hi Matt! Can you DM us your account's email address? We'll take a look backstage /DV,"We understand, we’re afraid that we don’t have any more info to share, but give us a shout if you need anything else! /JX",General / Other Support
If you’re gonna drastically change things at least give us a walk through so we know how things work and where you moved things to. But right now I can’t search for an artist or find any of my saved playlists or my curated “radio stations”,"Thanks for the feedback! We'll be sure to pass it on to the right folks. In the meantime, let us know if we can help with anything else /LO",General / Other Support
I wish there was a tool on that can make me block or automatically skip all Shawn Mendes songs 😂not impressed w/ his squeaky voice,"Hey! This isn't possible right now, but you can vote for the idea and help make it happen here: /GK",Feature Request / Product Feedback
Can't access my account. Annoyed that I have to tweet to get tech support for a service I pay for 😡,Hey Alex! Can you DM us your account's email address or username? We'll take a look backstage /RH,Account / Login
"Hey maybe, just maybe it only impacts 1% of your users because those that hit the limit leave. Or they work around it and just accept a crap user experience (that was me for years, messing with nested playlists until I got sick of it).",Hi there! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /DD,General / Other Support
any known issues with spotify and google home? had all sorts of problems this morning with music not playing.,Hi Mark! We'll look into this. What’s happening exactly? Can you let us know the device/OS you’re using to control Google Home? /HR,Spotify Connect / External Devices
"could you make a playlist of powerhouse artists who hit some serious notes? K, thanks.","Hi there! Do you have any artists in mind? Also, what country is your account set to? We'll see what we can whip up /AK",General / Other Support
"Spotify isn't working on the pc app or on my phone. Can't access any online content, says it's in offline mode.","Hey Steve, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",App / Device Issue
I don’t have Spotify on my desktop. How can I get you the information you need from the phone app,1: Got it! This sounds like something for our Artist Services friends. You can contact them here: If you ...,App / Device Issue
"my iPhone 6s has been doing great except recently when Spotify started running in the background for hours on end... Help! I know you can fix this issue. I already sent my iPhone to get the battery replaced but the issue is from the app. Again, help!",Thanks for the info. May we also know what's happening exactly? Is the app automatically starting without even opening it? Let us also know if this is happening on all devices or just the iPhone 6s. Keep us posted /DN,App / Device Issue
"I realize they're sort of a competitor, but your terrible support for Chromecast is making me use the service less and less.",Hey there! Could you tell us what's happening exactly? We'd love to help out /GU,Spotify Connect / External Devices
"My friends and I keep travelling although we are in same place, how can I use family plan ? how does the enrollment work ?",2: You can head here: to upgrade. Be sure to use the address where you're permanently residing when you upgrade /JC,General / Other Support
"I can't listen to specific artists on spotify, it shows them but music won't play",Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /AR,Playback / Streaming Issue
I think it's okay. I misread the new payment date because it's in US format,Alright! Feel free to give us a shout if you have any other questions /JL,Premium / Billing / Subscription
I like your recommended songs feature. Any chance it won't rec w/ new music just because of recently releases on a playlist?,"Hi Alphie, help's here! Can you give us more info on this? We'll see what we can suggest /DV",Feature Request / Product Feedback
"hey my app just updated and lots of my music is now listed as ""not available"" when I try to play it.",Hi Matt! Help's here. Can you let us know which devices this is happening with? We'll be waiting for your reply /MG,Music / Content Availability
"Why did you remove the ability to play from all sub-folders, a great feature removed for music organizers","1: Hi! Help's here. We don't have any info on this right now, but we'll let the right team know it's something you'd like to see again.",Feature Request / Product Feedback
The action I'd like you to take is to go to the effort of reading the detail in the thread and tell me you will drive this to a conclusion,1: We're afraid we don't have any more info about this. Rest assured that our devs are closely monitoring this thread and we'll keep...,General / Other Support
why can't I update my premium plan...,Hi there! We've just sent a DM your way. Let's carry on chatting there /FR,Premium / Billing / Subscription
Great!,"For now, give us a shout if anything else comes up. Have a /LP",General / Other Support
Eddy Kim - When night falls 👀 where is this song? I can't find it!!! 😤,"Hey Karen, we’ll have it available to you as soon as it’s available to us! For now, check /SY",Music / Content Availability
why when I’m playing a playlist do random songs play. It hasn’t done it before. Has it changed? I’m sorry I subscribe to premium as I’m not a big music listener.,Hey there! Can you DM us your account's username or email address? We'll take a look backstage /MS,Premium / Billing / Subscription
No Spotify in UAE. 😭 #spotifyuae,Hey there! We're launching in new countries as often as possible. Be sure to add your email at /GK,General / Other Support
"Is there a good way to let friends (remote) control playback? As in, queue up next song from phones or similar?","Hey Sam! Right now, the best choice to do something similar is to create a collaborative playlist: Try it out /BH",Playback / Streaming Issue
Hey is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,Hey there! Help's here. Could you DM us your account's email address? We'll check what we can suggest /RK,Premium / Billing / Subscription
cant sign in __email__. Changed password no go. Help.,"Hi John! Help's here. Just to check, are you getting a specific error message? If so, can you send us a screenshot? We'll take a look /DD",Account / Login
ho,Hey there! Could you send us your account's username or email address via DM? We'll take a look and see what we can suggest 🔍 /DB,General / Other Support
"the hell's this about, ?",Hey there! There's a limit to the number of tracks you can save offline. There's more info here: /KB,General / Other Support
Now we wait for the apps to update to fit the iPhone X - I'm looking at you 😫,2: More info here: Let us know if you need anything else /LP,App / Device Issue
For a company the size of to push out an update without iPhone X support now kind of just seems arrogant.,Hey John. We understand - we’re working on it as we speak. Stay tuned! /MT,App / Device Issue
"hi, can you tell me why all song are grey out, literally every song on all my playlist. I was premium but now free user",Hi Matt! Could you send us a DM with your account's email address? We'll take a look backstage /DR,Premium / Billing / Subscription
Can you please include a feature so when you delete songs from playlists they automatically get deleted in your play queue? Thx!,"Hey Ana! We'll gladly let the right folks know it's something you'd like to see. If anything else comes up, just give us a shout /BH",Feature Request / Product Feedback
"Guten Morgen,Und wo haben sie da geantwortet..Ich habe KEINE Rückerstattung erhalten!!Oder Feedback darüber..BIN immer noch Student.mfg",Wir haben dir eine private Nachricht mit mehr Info auch über die Rückerstattung geschickt. Kannst du deine Nachrichten überprüfen? /SA,Feature Request / Product Feedback
Switching to Apple Music until your app is updated for iPhone X. Maybe I’ll switch back...whenever you decide to get to it.,Hi there. We're sorry you feel that way. We understand - we’re working on it as we speak. Stay tuned! /LM,App / Device Issue
Wow! Super fast reply. Thanks for the feedback. Will certainly do! Hope it launches here soon 🤞🏻,No worries! Let us know if you ever need us again. We'd be... /PK,Feature Request / Product Feedback
for example i can play disorder by joy division but i can not play anything by gorillaz o.O,"Got it. Can you try logging out, restarting your devices, then logging back in? Let us know if it makes any difference /PB",General / Other Support
Why is it not on spotify? #reputation,Hi Logan! We've just sent a DM your way. Let's carry on chatting there /AU,Music / Content Availability
"not only do you delete my playlists, you then delete my premium account? I'll take my business elsewhere if you don't want It!",Hey! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC,Premium / Billing / Subscription
That’s what I’ve been doing but it keeps pulling the same song from the same artist just on a different compilation album! It’s really frustrating when they pull the same Beatles song from five different albums,"We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Right now, the amount of mixes you’re served up depends on the amount and diversity of your listening history, so keep listening to more tracks to mix things up /LS",General / Other Support
WHEN IS CRAZY SEXY COOL GOING TO BE ON SPOTIFY THIS IS NOT A DRILL I NEED THIS,"Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DV",General / Other Support
when is girl front going to be on spotify,Hey there! Can you let us know the artist of the song you're looking for? We'll check behind the scenes /MC,General / Other Support
Asap pls,Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /TC,General / Other Support
Thanks for the reply!,"No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",General / Other Support
Do I really need to ONLY use credit cards? Can I pay using my load?,"Hey! You can sign up for the Intro Offer using any recurring payment method that’s available at but the pricing varies by payment mode. To get the 9 PHP deal, we'd suggest using either a credit or debit card, or PayPal. Hope this clears things up /KM",General / Other Support
#spotify why is there still no option to exclude parent advisory music?you can show a badge stating it is then you can filter.,"Hey! We've no info on that, but you can support the idea by adding your vote at /CB",General / Other Support
Hey - someone has attempted to compromise my account. Can still log in with facebook but email/password have been changed,"Hey! In this case, it'd be best if you follow the steps at Let us know how it goes /CB",Account / Login
y’all should let us see the total amount of streams of an album on the mobile version,Hey! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /RA,General / Other Support
i love having my music cut out unexpectedly and having to use all my skips to get past songs I just heard 😒,Hey there! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted 🙂 /CG,Playback / Streaming Issue
I just installed Spotify & disappointed there's no option to auto-play video while streaming music as there was with Groove,"This isn't possible, but we appreciate the feedback. We’re always testing things in order to improve & we'll pass on your thoughts /AC",Playback / Streaming Issue
"Why can't I search using ""playlist:boyce"" anymore? I liked this feature... 😔","Hey Matt. Your feedback matters! No worries, you can always use the format spotify:user:(who created the playlist):playlist:(playlist) /MS",Feature Request / Product Feedback
i wasnt listening to screamo on full volume to be interrupted by spotify ads,Hey! Thanks for your feedback. We'll pass it on. Check out if you haven't had Premium before /RC,General / Other Support
please add a feature that lets me completely remove an artists from my suggestions. please. i am begging. No matter how often I downvote certain artists on my stations I still end up with 5 more songs suggested for the radio playlist.,"Hey, we can see how that’d be useful! We’d recommend suggesting it in our Community at /MG",Feature Request / Product Feedback
I just would really like to delete rap genre from my playlist. It's hateful music and I'm over it. Wish you could help.,"Hey! This isn't possible right now, but you can show your support for the idea on our Community: /KB",General / Other Support
can’t seem to be controlling spotify through my control center after ios11 update????,Hi Sher! Can you let us know what version of Spotify you're using? We'll see what we can suggest /DR,App / Device Issue
"What’s the best way to file a support ticket? Playlists are looping, instead of continuing to the playlist’s radio (even though the setting has been chosen). Thanks!","Hi there. Thanks for bringing this up. Can you tell us what device, operating system, and app version you're using? We'll see what we can suggest /JU",General / Other Support
Why is it not available for virgin customers?,"Hi Kate! We're afraid purchasing Premium directly via our website is unavailable for Virgin subscribers, but we'd suggest asking your provider if they can add it to your plan. Hope this helps /QI",Music / Content Availability
"I had a university subscription, the payment was canceled last week for lack of money. —",Got it. Can you DM us your account's email and username? We'll take a look backstage /ND,Premium / Billing / Subscription
is there an issue with your android app? Showing but wont connect to my Sonos speakers and playing up with the Sonos app. Keeps crashing... just want some music on :-(,Hey there! That's not cool. Could you send us a DM with your account's email address? We'll take a look backstage /QI,Spotify Connect / External Devices
"offline mode slider won't show on macbook desktop, how to fix? I have premium with 1 other device connected. have reinstalled",1: Hey! That's odd. Can you send over a screenshot of what you see when you follow the steps at /CB,Premium / Billing / Subscription
It’s been like 10 days.. no info.,"We don't have a release date yet, but rest assured our developers are on it. Watch out for it! Give us a shout if there's anything else /RE",General / Other Support
It worked on incognito mode. Just tried on another phone and the same thing happened..,Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC,App / Device Issue
"yeah I've done all that deleted cache, uninstalled and reinstalled as well","Don't worry, our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! /CX",General / Other Support
Also you keep randomly skipping songs so thanks for that...,Hey there! That's not right. Can you DM us your account's username or email address? We'll take a look backstage /TC,Playback / Streaming Issue
Can you please optimize the Spotify app for the iPhone X? 🙏🏻📲,"Hi Maria! We don't have any info to share right now, but we'll pass your feedback on to the right folks 🙂 /NH",App / Device Issue
"""You are currently set to offline"" while trying to login, traveling internationally have thousand of songs downloaded, this is devestating, please advise if there is a fix ASAP",Hey there! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC,Account / Login
plz update thai song more!,"Hey there! We’d love to have more Thai tracks available, but we have some info about content here: /LO",App / Device Issue
"USA. The iPhone app says ""an unknown error has occurred."" I also tried switching phone and laptop from wifi to a phone network. No change",Could you send us a screenshot of the error message you're getting? We'll take a look /RH,App / Device Issue
"Please add Podcasts to the Search! I would really love to be able to search by name or topic, etc.",Hi Julie! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /AU,Feature Request / Product Feedback
"2/2: really frustrating such a large company doesn’t have phone number for support. Want immediate help, not waiting 4 tweets",Hi! Sorry to hear you feel that way. We've just sent you a DM. Let's carry on chatting there /RA,App / Device Issue
Thank you. Will keep an eye on that.,You're welcome. Let us know if you ever need us again. We'd be... /NQ,General / Other Support
